user_id	userID
A1HK2FQW6KXQB2	0
A19K65VY14D13R	1
A2LL1TGG90977E	2
A5G19RYX8599E	3
A2496A4EWMLQ7	4
A3OQEVD4C7G3L3	5
ATZDT4B1U7NL	6
A3NMPMELAZC8ZY	7
A1ZSTU6RKY1JCL	8
A1TFH58BMFJCR3	9
AKNT3ZH2FB7T4	10
A3O4ATU0ENBKTU	11
AXBWU2IAPKKE7	12
AOWBZDNT7QAW0	13
A2SYNL4YX73KNY	14
A2Q2A6JKY95RTP	15
A3OL1DR5N8ZLOZ	16
AF98RW6DOEDOL	17
A2VVPVI9BGYM7L	18
A3PGZ7W5NH3S0T	19
A2EAJL3H6DPIPX	20
A16WT9L1IC07EB	21
A2VUKGR147X193	22
A10GMDGFGN7QH2	23
A21I33AWNOWMK8	24
A2957UEBNR2HCI	25
A1ZXU0W5329UVJ	26
A2DUQ2FOQFGHX	27
A177JLJI0EA0YM	28
A3KNSA6AC8Y04P	29
A1YLWB5UVEH3D6	30
A3AB3L610KXQBF	31
ALRN58JO86V5E	32
AXEEHEUKQILR0	33
AWLRK9A9L8RZG	34
A2DJPFHG6LGWTV	35
A3KZ91O8KA1IAZ	36
A1OG2X4KR2U1GE	37
A3EG1F4UBURE6O	38
AAY043ZKTXKJR	39
A2XDQLKDWBDWAJ	40
A2BGDV09HCHX8E	41
A2PEIERQZR3COP	42
A1TB3YY7HRLCTU	43
A34JA6VX47JLS1	44
A10STX704CY2IH	45
A3K43QC9YZKVTH	46
A35MDIBPAX9X7U	47
A190YSZV06NQ2Q	48
A1ZZZFMCPVVPHY	49
A2L3NFDM1PTOX3	50
A36OZM5CENQ7LW	51
A1M8AYAL3L8ACP	52
A2XUQN9HUD6ISG	53
A1Z54EM24Y40LL	54
AZK9CCTYQNRNL	55
ASOWPC6NCNA9N	56
API5JLBRT6FIN	57
A1DNWA98IV5PMW	58
AFM7DWQ762149	59
A3DETJ3SIGHPWI	60
A3E06BCCD0AU7B	61
A3NVSUFF2RPXOV	62
A30H2335OM7RD6	63
A1XB0T39BRR6US	64
A2PZ6W3HHMN7X4	65
A1I6Y22YMN96QW	66
A1HLB4YYHBKVEE	67
ANU96I3IBWDPB	68
A2EP68HH1PXAN3	69
A1WOIWR7GP1CTE	70
A2OIUYU1MG3XXL	71
A2XFSEQBPL7N00	72
A38CJDC0M54EEE	73
AAOC8UAMDDLON	74
A3AVIKJLVMPJ8K	75
A3QIB8PLHCD80N	76
A3NKRXQLI3FQML	77
A9RTFYY13I0GP	78
AF89IW5TVF8I8	79
A3AE1T2MLQQ7Y0	80
A1GDFTTWQBK1IS	81
A2U49LPX8ZHG3M	82
A3B19AL2Q4KZAG	83
A1IEMWQ9MVBRQ	84
A3J81R500QUZBL	85
A2MC0IMUFSW8RY	86
A3V0VFHSLXZO66	87
A264BUCG5B68SH	88
A1X52ZS1IPEEU5	89
AZKFRYAY0ZDM1	90
